"place"
"Kuril Islands"
"Molucca Sea"
"Colombia"
"Fiji region"
"near the south coast of western Honshu, Japan"
"Rat Islands, Aleutian Islands, Alaska"
"near the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Pagan region, Northern Mariana Islands"
"off the east coast of Honshu, Japan"
"near the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Kermadec Islands region"
"off the east coast of the North Island of New Zealand"
"Solomon Islands"
"Peru-Bolivia border region"
"Guerrero, Mexico"
"northern Sumatra, Indonesia"
"near the north coast of Papua, Indonesia"
"Java Sea"
"Mindoro, Philippines"
"Macquarie Island region"
"Peru-Brazil border region"
"northern Sumatra, Indonesia"
"south of the Fiji Islands"
"off the coast of Oregon"
"Kuril Islands"
"New Ireland region, Papua New Guinea"
"Kepulauan Obi, Indonesia"
"Catanduanes, Philippines"
"east of the Kuril Islands"
"Kuril Islands"
"Kepulauan Obi, Indonesia"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Vanuatu"
"Vanuatu"
"Java Sea"
"south of Panama"
"Bismarck Sea"
"Taiwan region"
"northern Colombia"
"Ryukyu Islands, Japan"
"Vanuatu region"
"off the coast of Northern California"
"Kuril Islands"
"Banda Sea"
"east of the Kuril Islands"
"Santa Cruz Islands"
"Kuril Islands"
"Santiago Del Estero, Argentina"
"east of the Kuril Islands"
"east of the Kuril Islands"
"Myanmar"
"Pacific-Antarctic Ridge"
"Kepulauan Tanimbar, Indonesia"
"South Sandwich Islands region"
"Vanuatu"
"Primor'ye, Russia"
"Kepulauan Barat Daya, Indonesia"
"Vanuatu"
"Vanuatu"
"off the coast of Oaxaca, Mexico"
"Hindu Kush region, Afghanistan"
"southeast of Easter Island"
"South Island of New Zealand"
"south of Java, Indonesia"
"south of Java, Indonesia"
"New Britain region, Papua New Guinea"
"Catanduanes, Philippines"
"La Paz, Bolivia"
"La Paz, Bolivia"
"Colombia"
"south of Java, Indonesia"
"Taiwan"
"south of Java, Indonesia"
"south of Java, Indonesia"
"south of Java, Indonesia"
"Myanmar"
"near the south coast of Papua, Indonesia"
"Taiwan region"
"Crete, Greece"
"Taiwan region"
"Guerrero, Mexico"
"Kuril Islands"
"Kepulauan Mentawai region, Indonesia"
"Kepulauan Mentawai region, Indonesia"
"Santiago Del Estero, Argentina"
"Vanuatu"
"Trinidad region, Trinidad and Tobago"
"southwest of Sumatra, Indonesia"
"central Afghanistan"
"Santiago Del Estero, Argentina"
"Tonga"
"Vanuatu"
"Bougainville region, Papua New Guinea"
"Bougainville region, Papua New Guinea"
"Papua, Indonesia"
"southeast of the Ryukyu Islands, Japan"
"off the east coast of Honshu, Japan"
"Vanuatu"
"Andreanof Islands, Aleutian Islands, Alaska"
"south of the Fiji Islands"
"off the coast of Central America"
"Chiapas, Mexico"
"central Mid-Atlantic Ridge"
"Fiji region"
"southern Iran"
"eastern Iran"
"Tonga"
"eastern Iran"
"eastern Iran"
"southeast Indian Ridge"
"Loyalty Islands, New Caledonia"
"Vanuatu"
"Loyalty Islands, New Caledonia"
"Loyalty Islands, New Caledonia"
"southern Sumatra, Indonesia"
"Vanuatu"
"South Pacific Ocean"
"Vanuatu"
"Lake Albert region, Uganda"
"Solomon Islands"
"northern Mid-Atlantic Ridge"
"Halmahera, Indonesia"
"Fiji region"
"Papua, Indonesia"
"1km NNW of Reseda, CA"
"Myanmar-China border region"
"southern Peru"
"Auckland Islands, New Zealand region"
"Vanuatu"
"Vanuatu"
"Kepulauan Tanimbar, Indonesia"
"Near Islands, Aleutian Islands, Alaska"
"Batan Islands region, Philippines"
"Molucca Sea"
"Molucca Sea"
"Solomon Islands"
"Unimak Island region, Alaska"
"near the east coast of the Kamchatka Peninsula, Russia"
"Bismarck Sea"
"eastern New Guinea region, Papua New Guinea"
"eastern New Guinea region, Papua New Guinea"
"Guerrero, Mexico"
"eastern New Guinea region, Papua New Guinea"
"eastern New Guinea region, Papua New Guinea"
"eastern New Guinea region, Papua New Guinea"
"Izu Islands, Japan region"
"Banda Sea"
"southern Xinjiang, China"
"offshore Oaxaca, Mexico"
"Maharashtra, India"
"Minahasa, Sulawesi, Indonesia"
"South Atlantic Ocean"
"State of Yap, Federated States of Micronesia"
"Bougainville region, Papua New Guinea"
"central Mid-Atlantic Ridge"
"off the coast of Chiapas, Mexico"
"Hindu Kush region, Afghanistan"
"Kermadec Islands, New Zealand"
"offshore Chiapas, Mexico"
"Kermadec Islands region"
"New Ireland region, Papua New Guinea"
"Savu Sea"
"offshore Chiapas, Mexico"
"Simeulue, Indonesia"
"off the coast of Aisen, Chile"
"Fiji region"
"New Guinea, Papua New Guinea"
"off the east coast of the North Island of New Zealand"
"Guam region"
"North Island of New Zealand"
"off the west coast of the South Island of New Zealand"
"Hindu Kush region, Afghanistan"
"Hindu Kush region, Afghanistan"
"Guam region"
"Hokkaido, Japan region"
"south of the Fiji Islands"
"northeast of Taiwan"
"Kepulauan Mentawai region, Indonesia"
"Egypt"
"Bougainville region, Papua New Guinea"
"northern Colombia"
"eastern Sea of Japan"
"Hokkaido, Japan region"
"Antofagasta, Chile"
"Fiji region"
"Easter Island region"
"Vanuatu region"
"west of Macquarie Island"
"Kermadec Islands region"
"Kermadec Islands region"
"near the north coast of New Guinea, Papua New Guinea"
"near the east coast of the Kamchatka Peninsula, Russia"
"near the south coast of Papua, Indonesia"
"Solomon Islands"
"San Juan, Argentina"
"near the east coast of the Kamchatka Peninsula, Russia"
"Saipan region, Northern Mariana Islands"
"Vanuatu"
"Halmahera, Indonesia"
"North Atlantic Ocean"
"Alaska Peninsula"
"Jujuy, Argentina"
"Jujuy, Argentina"
"Babuyan Islands region, Philippines"
"46km E of Big Pine, California"
"New Britain region, Papua New Guinea"
"Tonga"
"Andreanof Islands, Aleutian Islands, Alaska"
"Guerrero, Mexico"
"Alaska Peninsula"
"Mindanao, Philippines"
"Acre, Brazil"
"South Sandwich Islands region"
"Fiji"
"north of Halmahera, Indonesia"
"Pacific-Antarctic Ridge"
"central Peru"
"Fiji region"
"Fiji region"
"South Sandwich Islands region"
"Fiji region"
"western Xizang"
"South Sandwich Islands region"
"offshore Atacama, Chile"
"Fiji region"
"South Sandwich Islands region"
"South Sandwich Islands region"
"west of Macquarie Island"
"Solomon Islands"
"south of the Fiji Islands"
"Santa Cruz Islands region"
"Papua, Indonesia"
"central Mid-Atlantic Ridge"
"Fiji region"
"near the west coast of Honshu, Japan"
"Kepulauan Barat Daya, Indonesia"
"northern Sumatra, Indonesia"
"Sea of Japan"
"Pagan region, Northern Mariana Islands"
"Hokkaido, Japan region"
"Hokkaido, Japan region"
"western Indian-Antarctic Ridge"
"South Sandwich Islands region"
"south of the Kermadec Islands"
"central Mid-Atlantic Ridge"
"Tonga"
"Banda Sea"
"near the east coast of the Kamchatka Peninsula, Russia"
"eastern New Guinea region, Papua New Guinea"
"Flores region, Indonesia"
"Flores region, Indonesia"
"offshore Coquimbo, Chile"
"South Sandwich Islands region"
"south of the Fiji Islands"
"Andreanof Islands, Aleutian Islands, Alaska"
"Fiji region"
"near the coast of western Turkey"
"New Britain region, Papua New Guinea"
"Vanuatu"
"Balleny Islands region"
"near the north coast of New Guinea, Papua New Guinea"
"near the north coast of New Guinea, Papua New Guinea"
"Izu Islands, Japan region"
"Mindanao, Philippines"
"Kermadec Islands, New Zealand"
"Georgia (Sak'art'velo)"
"Savu Sea"
"New Britain region, Papua New Guinea"
"Kermadec Islands region"
"Kermadec Islands, New Zealand"
"New Guinea, Papua New Guinea"
"Vanuatu"
"northern Colombia"
"Banda Sea"
"northern Colombia"
"Vanuatu"
"Vanuatu"
"Vanuatu"
"New Britain region, Papua New Guinea"
"Andreanof Islands, Aleutian Islands, Alaska"
"Andreanof Islands, Aleutian Islands, Alaska"
"Andreanof Islands, Aleutian Islands, Alaska"
"Taiwan region"
"Halmahera, Indonesia"
"Balleny Islands region"
"Vanuatu"
"Democratic Republic of the Congo"
"Svalbard region"
"Java, Indonesia"
"near the coast of Nicaragua"
"Fiji region"
"near the south coast of Honshu, Japan"
"north of Ascension Island"
"South Sandwich Islands region"
"Hokkaido, Japan region"
"Kyrgyzstan"
"Kyrgyzstan"
"Kyrgyzstan"
"Kyrgyzstan"
"Andreanof Islands, Aleutian Islands, Alaska"
"eastern New Guinea region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"Izu Islands, Japan region"
"Kepulauan Talaud, Indonesia"
"Kermadec Islands region"
"Gulf of Alaska"
"Santa Cruz Islands"
"Fiji region"
"Flores Sea"
"Halmahera, Indonesia"
"eastern Xizang"
"off the east coast of Honshu, Japan"
"Svalbard region"
"near the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"northern Peru"
"near the east coast of the Kamchatka Peninsula, Russia"
"Hokkaido, Japan region"
"south of the Fiji Islands"
"Kuril Islands"
"7km SSE of Big Bear City, CA"
"10km N of Yucca Valley, CA"
"Kermadec Islands region"
"southeast of Easter Island"
"east of the South Sandwich Islands"
"North Island of New Zealand"
"South Shetland Islands"
"Myanmar"
"Java, Indonesia"
"Rat Islands, Aleutian Islands, Alaska"
"South Indian Ocean"
"offshore Chiapas, Mexico"
"Santa Cruz Islands"
"Cuba region"
"near the north coast of New Guinea, Papua New Guinea"
"southern Xinjiang, China"
"Pakistan"
"south of Panama"
"offshore Valparaiso, Chile"
"Mindanao, Philippines"
"Mindanao, Philippines"
"near the coast of central Peru"
"Vanuatu"
"eastern Uzbekistan"
"eastern New Guinea region, Papua New Guinea"
"Samoa Islands region"
"Banda Sea"
"offshore Northern California"
"offshore Northern California"
"20km SSW of Rio Dell, California"
"Pakistan"
"Myanmar"
"Myanmar"
"17km NNE of Thousand Palms, California"
"Taiwan"
"southern Sumatra, Indonesia"
"Minahasa, Sulawesi, Indonesia"
"Vancouver Island, Canada region"
"Santa Cruz Islands"
"New Britain region, Papua New Guinea"
"southern East Pacific Rise"
"Luzon, Philippines"
"D'Entrecasteaux Islands region"
"eastern Turkey"
"Andreanof Islands, Aleutian Islands, Alaska"
"Bismarck Sea"
"Bismarck Sea"
"Costa Rica"
"off the east coast of the Kamchatka Peninsula, Russia"
"Djibouti"
"Bismarck Sea"
"off the east coast of the Kamchatka Peninsula, Russia"
"eastern New Guinea region, Papua New Guinea"
"southeast of the Loyalty Islands"
"Macquarie Island region"
"Vanuatu"
"southern Sumatra, Indonesia"
"western Indian-Antarctic Ridge"
"Bonin Islands, Japan region"
"Halmahera, Indonesia"
"Vancouver Island, Canada region"
"near the south coast of Papua, Indonesia"
"South Sandwich Islands region"
"Russia-Mongolia border region"
"South Sandwich Islands region"
"Kuril Islands"
"Kuril Islands"
"Balleny Islands region"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"southeast of the Loyalty Islands"
"southern East Pacific Rise"
"south of the Fiji Islands"
"Hokkaido, Japan region"
"Mindanao, Philippines"
"off the east coast of the North Island of New Zealand"
"near the west coast of Colombia"
"Mindanao, Philippines"
"Kepulauan Barat Daya, Indonesia"
"Mid-Indian Ridge"
"eastern New Guinea region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"Kermadec Islands, New Zealand"
"Tonga"
"Uttaranchal, India"
"south of the Fiji Islands"
"Tonga"
"Banda Sea"
"Solomon Islands"
"Solomon Islands"
"Solomon Islands"
"southern East Pacific Rise"
"Vanuatu"
"Fiji region"
"New Britain region, Papua New Guinea"
"Tonga"
"Guatemala"
"southern East Pacific Rise"
"southern East Pacific Rise"
"Izu Islands, Japan region"
"136km WSW of Brookings, Oregon"
"off the coast of Northern California"
"Vanuatu"
"Vanuatu"
"Minahasa, Sulawesi, Indonesia"
"Hindu Kush region, Afghanistan"
"Kuril Islands"
"off the coast of Oregon"
"central Peru"
"south of Bali, Indonesia"
"Kepulauan Alor, Indonesia"
"Kepulauan Mentawai region, Indonesia"
"Santiago Del Estero, Argentina"
"Gulf of California"
"Minahasa, Sulawesi, Indonesia"
"Leyte, Philippines"
"South Sandwich Islands region"
"Georgia (Sak'art'velo)"
"northern Mid-Atlantic Ridge"
"Fiji region"
"Flores Sea"
"Alaska Peninsula"
"southern Peru"
"Kepulauan Barat Daya, Indonesia"
"Minahasa, Sulawesi, Indonesia"
"New Guinea, Papua New Guinea"
"Tonga"
"off the east coast of Honshu, Japan"
"Panama-Costa Rica border region"
"Bonin Islands, Japan region"
"Central Alaska"
"Georgia (Sak'art'velo)"
"Georgia (Sak'art'velo)"
"Costa Rica"
"south of Panama"
"Mindanao, Philippines"
"Costa Rica"
"Samoa Islands region"
"Tonga"
"near the coast of central Peru"
"northern Peru"
"northern Peru"
"Panama"
"Taiwan region"
"off the coast of northern Peru"
"Costa Rica"
"south of Africa"
"near the east coast of Koryakskiy Avtonomnyy Okrug, Russia"
"Tonga"
"Costa Rica"
"Bering Sea"
"Mindanao, Philippines"
"Kuril Islands"
"central Mid-Atlantic Ridge"
"Solomon Islands"
"Solomon Islands"
"Fiji region"
"Hindu Kush region, Afghanistan"
"near the north coast of Papua, Indonesia"
"near the north coast of Papua, Indonesia"
"Rat Islands, Aleutian Islands, Alaska"
"western Indian-Antarctic Ridge"
"New Britain region, Papua New Guinea"
"Tonga"
"Myanmar"
"eastern New Guinea region, Papua New Guinea"
"off the coast of Jalisco, Mexico"
"New Britain region, Papua New Guinea"
"Nicobar Islands, India region"
"Macedonia region"
"Tonga"
"south of Panama"
"Taiwan"
"Minahasa, Sulawesi, Indonesia"
"Taiwan"
"Tonga"
"Banda Sea"
"Kermadec Islands region"
"Colombia"
"New Britain region, Papua New Guinea"
"northern Sumatra, Indonesia"
"Kyrgyzstan"
"Komandorskiye Ostrova, Russia region"
"southern Iran"
"southern Mid-Atlantic Ridge"
"Mindanao, Philippines"
"Peru-Brazil border region"
"southwest of Sumatra, Indonesia"
"south of the Fiji Islands"
"Potosi, Bolivia"
"southwestern Ryukyu Islands, Japan"
"Vanuatu"
"Izu Islands, Japan region"
"Izu Islands, Japan region"
"Banda Sea"
"Vanuatu"
"Macquarie Island region"
"near the coast of Ecuador"
"Molucca Sea"
"Mid-Indian Ridge"
"Solomon Islands"
"southern Xinjiang, China"
"northern Mid-Atlantic Ridge"
"Vanuatu"
"Molucca Sea"
"north of Ascension Island"
"near the east coast of Honshu, Japan"
"Izu Islands, Japan region"
"eastern Kazakhstan"
"Vanuatu"
"south of the Fiji Islands"
"Luzon, Philippines"
"Luzon, Philippines"
"Luzon, Philippines"
"north of Ascension Island"
"Hindu Kush region, Afghanistan"
"Solomon Islands"
"Sudan"
"south of the Fiji Islands"
"Fiji region"
"Admiralty Islands region, Papua New Guinea"
"northern Iran"
"Pakistan"
"Kazakhstan-Xinjiang border region"
"Panay, Philippines"
"Fiji region"
"near the north coast of New Guinea, Papua New Guinea"
"near the east coast of Honshu, Japan"
"Romania"
"Romania"
"northern Peru"
"Kodiak Island region, Alaska"
"Flores Sea"
"Sudan"
"Sudan"
"West Chile Rise"
"south of the Kermadec Islands"
"Tonga"
"Sudan"
"Maule, Chile"
"North Island of New Zealand"
"Tatar Strait, Russia"
"North Korea"
"south of Panama"
"New Britain region, Papua New Guinea"
"Alaska Peninsula"
"Costa Rica"
"northern Qinghai, China"
"southern Qinghai, China"
"northern Qinghai, China"
"offshore Bio-Bio, Chile"
"Minahasa, Sulawesi, Indonesia"
"Minahasa, Sulawesi, Indonesia"
"Minahasa, Sulawesi, Indonesia"
"central Mid-Atlantic Ridge"
"western Honshu, Japan"
"Mariana Islands region"
"Mariana Islands region"
"near the coast of Nicaragua"
"eastern New Guinea region, Papua New Guinea"
"Hindu Kush region, Afghanistan"
"Costa Rica"
"Costa Rica"
"Kermadec Islands region"
"Gulf of California"
"Vanuatu"
"Andreanof Islands, Aleutian Islands, Alaska"
"Hindu Kush region, Afghanistan"
"Vanuatu"
"Pakistan"
"southeast of the Loyalty Islands"
"south of the Fiji Islands"
"south of the Fiji Islands"
"Easter Island region"
"Tonga"
"near the south coast of Honshu, Japan"
"Vanuatu"
"North Island of New Zealand"
"Ryukyu Islands, Japan"
"Bohol, Philippines"
"Bohol, Philippines"
"Hindu Kush region, Afghanistan"
"northern Sumatra, Indonesia"
"Kermadec Islands, New Zealand"
"Myanmar"
"Samoa Islands region"
"near the north coast of New Guinea, Papua New Guinea"
"Alamagan region, Northern Mariana Islands"
"Mindanao, Philippines"
"Mindanao, Philippines"
"Banda Sea"
"Minahasa, Sulawesi, Indonesia"
"Philippine Islands region"
"eastern New Guinea region, Papua New Guinea"
"northern Peru"
"south of the Fiji Islands"
"southern Peru"
"Papua, Indonesia"
"Auckland Islands, New Zealand region"
"Bougainville region, Papua New Guinea"
"Fiji region"
"Solomon Islands"
"near the east coast of Honshu, Japan"
"Potosi, Bolivia"
"off the east coast of Honshu, Japan"
"Solomon Islands"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"south of the Fiji Islands"
"Solomon Islands"
"1km W of Day Valley, California"
"New Britain region, Papua New Guinea"
"Andreanof Islands, Aleutian Islands, Alaska"
"Andreanof Islands, Aleutian Islands, Alaska"
"Andreanof Islands, Aleutian Islands, Alaska"
"Vanuatu"
"Vanuatu"
"western Sichuan, China"
"Rat Islands, Aleutian Islands, Alaska"
"Caspian Sea, offshore Turkmenistan"
"Chiapas, Mexico"
"Caspian Sea"
"Halmahera, Indonesia"
"southern Mid-Atlantic Ridge"
"south of Alaska"
"near the south coast of Papua, Indonesia"
"off the coast of Jalisco, Mexico"
"Taiwan region"
"Bougainville region, Papua New Guinea"
"Ethiopia"
"Ethiopia"
"Ethiopia"
"Ethiopia"
"Ethiopia"
"Djibouti"
"south of the Fiji Islands"
"Molucca Sea"
"Mindanao, Philippines"
"Taiwan"
"Papua, Indonesia"
"Flores region, Indonesia"
"Halmahera, Indonesia"
"East Timor region"
"Andreanof Islands, Aleutian Islands, Alaska"
"Macquarie Island region"
"Hawaii region, Hawaii"
"near the coast of Ecuador"
"Izu Islands, Japan region"
"northern Mid-Atlantic Ridge"
"South Island of New Zealand"
"Pacific-Antarctic Ridge"
"Komandorskiye Ostrova, Russia region"
"Macquarie Island region"
"Kermadec Islands, New Zealand"
"Fox Islands, Aleutian Islands, Alaska"
"Solomon Islands"
"Kermadec Islands, New Zealand"
"south of the Fiji Islands"
"Acre, Brazil"
"western Sichuan, China"
"southern Sumatra, Indonesia"
"Izu Islands, Japan region"
"Guerrero, Mexico"
"western Sichuan, China"
"southwestern Sakha, Russia"
"south of the Fiji Islands"
"Fiji region"
"western Sichuan, China"
"east of the Kuril Islands"
"Vanuatu"
"Tarapaca, Chile"
"south of the Kermadec Islands"
"Tonga"
"Malawi"
"Molucca Sea"
"near the east coast of Honshu, Japan"
"Kepulauan Barat Daya, Indonesia"
"Argentina-Paraguay border region"
"Halmahera, Indonesia"
"Kermadec Islands, New Zealand"
"southern East Pacific Rise"
"Solomon Islands"
"Molucca Sea"
"New Ireland region, Papua New Guinea"
"south of Panama"
"Komandorskiye Ostrova, Russia region"
