Year	Mo	Dy	Country	Water Height
1915	8		PAPUA NEW GUINEA	
1915	9	7	EL SALVADOR	
1915	11	1	JAPAN	1
1915	11	6	INDONESIA	
1915	11	18	PHILIPPINES	
1916	1	1	PAPUA NEW GUINEA	4.5
1916	1	31	COSTA RICA	
1916	4	26	PANAMA	1.3
1916	7	3	ITALY	10
1916	8	16	ITALY	
1916	11	12	VENEZUELA	
1917	1	9	INDONESIA	
1917	1	20	INDONESIA	2
1917	1	25	CHINA	
1917	1	30	RUSSIA	
1917	1	31	PHILIPPINES	1.5
1917	1		INDONESIA	
1917	3	16	INDONESIA	1.5
1917	5	1	NEW ZEALAND	0.3
1917	5	6	TAIWAN	0.5
1917	6	26	SAMOA	12.2
1917	7	29	PAPUA NEW GUINEA	0.9
1917	8	16	USA	8
1917	8	23	INDONESIA	
1917	9	1	FRENCH POLYNESIA	1.9
1917	11	16	NEW ZEALAND	2.5
1917	12	6	CANADA	7
1918	2	13	CHINA	
1918	5	20	CHILE	
1918	7	18	INDONESIA	0.08
1918	8	14	CHINA	
1918	8	15	PHILIPPINES	7.2
1918	9	7	RUSSIA	12
1918	10	11	USA TERRITORY	6.1
1918	10	25	USA TERRITORY	
1918	11	8	RUSSIA	0.5
1918	12	4	CHILE	5
1918			ICELAND	
1919	1	1	PHILIPPINES	0.44
1919	1	1	TONGA	0.4
1919	1		USA	
1919	2	13	INDONESIA	
1919	4	3	INDONESIA	5
1919	4	9	USA	
1919	4	29	TONGA	
1919	4	30	TONGA	2.5
1919	5	6	PAPUA NEW GUINEA	2.5
1919	5	22	ITALY	0.75
1919	6	29	NICARAGUA	
1919	8	19	VENEZUELA	
1919	10	2	USA	4.3
1919	10	22	ITALY	
1919	11	21	INDONESIA	
1919	12	26	UKRAINE	
1920	1	29	INDONESIA	2
1920	2	2	PAPUA NEW GUINEA	
1920	8	20	CHILE	1.4
1920	8		USA TERRITORY	
1920	9	20	VANUATU	
1920	12	16	CHINA	0.75
1920	12	18	ALBANIA	
1921	5	14	INDONESIA	1
1921	8	4	CHINA	
1921	9	11	INDONESIA	0.1
1921	11	11	PHILIPPINES	
1921	12	16	USA	
1922	1	6	PERU	
1922	1	19	PAPUA NEW GUINEA	1.8
1922	2	22	INDONESIA	
1922	2	27	PHILIPPINES	0.7
1922	3	1	PHILIPPINES	
1922	4	10	INDONESIA	
1922	5	2	USA	0.64
1922	7	8	INDONESIA	
1922	8	8	GREECE	
1922	9	1	TAIWAN	
1922	10	22	AUSTRALIA	
1922	11	7	CHILE	
1922	11	11	CHILE	9
1922	12	25	NEW ZEALAND	0.4
1923	1	22	USA	0.1
1923	2	3	RUSSIA	8
1923	2	17	CHILE	1.5
1923	3	2	PHILIPPINES	
1923	3	4	CHILE	35
1923	4	13	RUSSIA	20
1923	5	4	CHILE	
1923	5	7	CHILE	
1923	6	1	JAPAN	0.4
1923	7	18	PHILIPPINES	
1923	8	6	USA	
1923	8	12	CHILE	
1923	8		KOREA	
1923	9	1	JAPAN	13
1923	9	2	JAPAN	0.3
1923	9	4	USA	6.1
1923	11	2	PAPUA NEW GUINEA	
1923	11	4	PAPUA NEW GUINEA	
1924	3	15	RUSSIA	
1924	4	13	RUSSIA	
1924	4	14	PHILIPPINES	
1924	4	16	RUSSIA	
1924	5	6	PHILIPPINES	
1924	5	30	USA	5
1924	6	2	PHILIPPINES	
1924	6	26	AUSTRALIA	
1924	7	19	NEW ZEALAND	
1924	8	8	USA	4.6
1924	8	28	ICELAND	
1924	8	30	PHILIPPINES	
1925	1	8	INDONESIA	1
1925	2	23	USA	1.4
1925	5	4	MEXICO	
1925	5	5	PHILIPPINES	
1925	5	11	ITALY	
1925	5	15	CHILE	
1925	5	25	PHILIPPINES	
1925	10	4	USA	0.34
1925	11	13	PHILIPPINES	
1925	11	16	MEXICO	11
1925	11	25	PHILIPPINES	
1925	12	22	"MICRONESIA, FED. STATES OF"	
1926	1	9	USA	3
1926	1	25	SOLOMON ISLANDS	
1926	3	20	USA	1.5
1926	3	31	COOK ISLANDS	
1926	6	28	INDONESIA	
1926	7	30	UK	
1926	7		SOUTH KOREA	
1926	8	17	ITALY	
1926	8	22	PORTUGAL	
1926	8	30	GREECE	
1926	9	16	SOLOMON ISLANDS	2
1926	12	9	CHILE	
1926	12	19	PORTUGAL	
1927	1	1	USA	
1927	1	24	NORWAY	
1927	3	7	JAPAN	11.3
1927	6	26	UKRAINE	0.7
1927	7	11	ISRAEL	1
1927	8	5	JAPAN	0.1
1927	8	18	JAPAN	0.4
1927	9	6	MEXICO	
1927	9	11	UKRAINE	1
1927	10	12	USA	
1927	10	24	USA	
1927	11	4	USA	1.8
1927	11	21	CHILE	
1927	12	1	INDONESIA	15
1927	12	28	RUSSIA	2
1927			NEW ZEALAND	6.35
1928	2	9	CANADA	
1928	3	22	MEXICO	
1928	3	26	INDONESIA	
1928	3	31	GREECE	
1928	3	31	CHILE	
1928	4	9	PERU	
1928	4	22	GREECE	0.6
1928	4	24	GREECE	
1928	4	25	GREECE	
1928	4	27	PERU	
1928	4	27	GREECE	0.6
1928	5	2	GREECE	
1928	5	3	TURKEY	
1928	5	18	TONGA	
1928	5	27	JAPAN	0.45
1928	5	30	JAPAN	
1928	6	15	PHILIPPINES	
1928	6	17	MEXICO	0.2
1928	7	18	PERU	
1928	8	4	INDONESIA	10
1928	9	13	VENEZUELA	
1928	11	20	CHILE	
1928	12	1	CHILE	1.5
1928	12	19	PHILIPPINES	
1928			CANADA	
1929	1	17	VENEZUELA	
1929	3	7	USA	1
1929	5	21	JAPAN	0.7
1929	5	26	CANADA	1.5
1929	6	13	PHILIPPINES	
1929	6	16	NEW ZEALAND	2.5
1929	8	9	CHILE	7.5
1929	8	12	USA	
1929	11	9	INDONESIA	
1929	11	18	CANADA	13
1930	1	3	CHINA	
1930	2	16	SPAIN	
1930	2		USA	
1930	3	17	INDONESIA	500
1930	5	2	NORWAY	
1930	5	5	MYANMAR (BURMA)	
1930	6	19	INDONESIA	1.5
1930	7	19	INDONESIA	0.1
1930	8	31	USA	3.05
1930	9	11	ITALY	2.5
1930	9	11	INDONESIA	
1930	9	30	PAPUA NEW GUINEA	
1930	10	30	ITALY	
1930	11	5	KENYA	6
1930	12	23	PAPUA NEW GUINEA	12
1930	12	29	CHILE	1
1931	2	2	NEW ZEALAND	
1931	2	13	NEW ZEALAND	0.1
1931	2	19	NEW ZEALAND	
1931	3	9	JAPAN	0.4
1931	3	18	CHILE	
1931	6	7	UK	
1931	8	7	PAPUA NEW GUINEA	
1931	8	19	USA	3
1931	8	31	PORTUGAL	
1931	9	25	INDONESIA	1
1931	10	3	SOLOMON ISLANDS	9
1931	11	2	JAPAN	0.8
1931	12	1	CUBA	
1932	2	3	CUBA	
1932	5	7	ITALY	
1932	6	3	MEXICO	10
1932	6	18	MEXICO	1
1932	6	22	MEXICO	10
1932	6	29	MEXICO	
1932	9	9	INDONESIA	
1932	9	15	NEW ZEALAND	
1932	9	26	GREECE	2
1932	11	4	VENEZUELA	
1932	11	10	USA	5.4
1933	1	8	RUSSIA	9
1933	2	23	CHILE	
1933	3	2	JAPAN	29
1933	3	11	USA	0.1
1933	4	23	GREECE	
1933	5	19	TOGO	
1933	6	18	JAPAN	0.2
1933	10	2	ECUADOR	
1933	12	12	PAPUA NEW GUINEA	
1933	12	25	PHILIPPINES	
1934	1	15	NEPAL	
1934	2	14	PHILIPPINES	
1934	4	7	NORWAY	62.3
1934	6	3	ICELAND	
1934	7	18	PANAMA	
1934	7	18	SOLOMON ISLANDS	0.65
1934	7	21	SOLOMON ISLANDS	
1934	8	21	USA	12
1934	11	30	MEXICO	0.11
1934	12	4	CHILE	
1934	12	12	PAPUA NEW GUINEA	
1935	5	30	PAKISTAN	
1935	7	19	JAPAN	0.2
1935	9	20	PAPUA NEW GUINEA	
1935	10	12	JAPAN	0.3
1935	10	18	JAPAN	0.2
1935	11	21	USA	
1935	11	25	INDONESIA	
1935	12	18	CHINA	
1935	12	28	INDONESIA	
1936	2	2	NEW ZEALAND	
1936	2	25	NAURU	
1936	4	1	INDONESIA	3
1936	7	13	CHILE	1
1936	8	23	INDONESIA	
1936	9	13	NORWAY	74
1936	10	27	USA	149.35
1936	11	2	JAPAN	0.7
1936	11	13	RUSSIA	13
1937	5	29	PAPUA NEW GUINEA	2.5
1937	8	20	PHILIPPINES	
1937	9	21	RUSSIA	
1937	9	21	USA	
1937	9	22	RUSSIA	
1937	11	6	INDONESIA	0.5
1938	1	28	CONGO	
1938	2	1	INDONESIA	1
1938	2	13	INDONESIA	0.5
1938	3	6	PAPUA NEW GUINEA	0.03
1938	3	22	CANADA	
1938	3		NORWAY	
1938	5	12	PAPUA NEW GUINEA	
1938	5	19	INDONESIA	3
1938	5	23	JAPAN	0.83
1938	5	28	JAPAN	0.9
1938	6	10	JAPAN	1.5
1938	9	21	USA	
1938	11	5	JAPAN	0.57
1938	11	5	JAPAN	0.56
1938	11	6	JAPAN	1.26
1938	11	6	JAPAN	1.25
1938	11	9	JAPAN	
1938	11	10	USA	0.3
1938	11	13	JAPAN	0.75
1938	11	16	JAPAN	
1938	11	22	JAPAN	0.3
1938	11	30	JAPAN	0.2
1939	1	25	CHILE	
1939	1	27	ITALY	
1939	1	30	PAPUA NEW GUINEA	
1939	3	20	JAPAN	0.8
1939	4	18	CHILE	
1939	4	30	SOLOMON ISLANDS	10.5
1939	5	1	JAPAN	1.2
1939	5	6	PHILIPPINES	
1939	5	8	PORTUGAL	
1939	6	22	GHANA	
1939	8	15	CUBA	
1939	12	21	INDONESIA	
1939	12	26	TURKEY	0.53
1940	1	15	ITALY	
1940	5	24	PERU	2
1940	8	1	JAPAN	3.5
1940	8	31	NORWAY	
1940	10	4	CHILE	
1940	10	11	CHILE	
1941	1	13	PAPUA NEW GUINEA	0.15
1941	2	9	USA	
1941	3	16	ITALY	
1941	6	26	INDIA	1.5
1941	11	18	JAPAN	1.2
1941	11	25	ATLANTIC OCEAN	0.1
1941	12	5	COSTA RICA	0.23
1941	12	6	COSTA RICA	0.1
1942	5	22	COLOMBIA	1
1942	8	24	PERU	2
1943	4	6	CHILE	1
1943	6	13	JAPAN	0.6
1944	4	9	USA	9.14
1944	8	20	ITALY	
1944	9	14	USA	
1944	12	7	JAPAN	10
1944			USA	
1945	1	12	JAPAN	1
1945	2	10	JAPAN	0.4
1945	11	27	PAKISTAN	17
1946	4	1	USA	42
1946	6	23	CANADA	9
1946	8	2	CHILE	
1946	8	4	DOMINICAN REPUBLIC	5
1946	8	8	DOMINICAN REPUBLIC	0.6
1946	9	30	PERU	
1946	11	1	USA	
1946	11	13	RUSSIA	
1946	12	20	JAPAN	6.6
1947	1		USA	
1947	3	25	NEW ZEALAND	10
1947	5	17	NEW ZEALAND	6
1947	10	6	GREECE	1
1947	11	4	JAPAN	2
1948	1	24	PHILIPPINES	
1948	2	9	GREECE	2.5
1948	4	17	JAPAN	0.6
1948	4	22	GREECE	1
1948	5	23	CHINA	3
1948	6	1	INDONESIA	
1948	9	8	TONGA	2
1948	12	3	MEXICO	5
1948	12	26	CHILE	
1949	1	27	RUSSIA	
1949	2	9	GREECE	
1949	4	13	USA	
1949	4	16	USA	2.4
1949	4	20	CHILE	
1949	5	9	INDONESIA	
1949	7	23	GREECE	2
1949	7	27	USA	19.81
1949	8	22	CANADA	0.61
1949	9	5	PHILIPPINES	0.1
1949	9	27	USA	
1949	10	19	PAPUA NEW GUINEA	0.3
1949	12	17	CHILE	
1949	12	17	CHILE	
1949	12	29	PHILIPPINES	
1950	1	30	CHILE	
1950	3	14	NEW ZEALAND	
1950	4	30	PANAMA	
1950	8	3	VENEZUELA	
1950	8	15	INDIA	0.5
1950	10	5	COSTA RICA	0.1
1950	10	8	INDONESIA	
1950	10	8	NORWAY	
1950	10	23	GUATEMALA	0.2
1950	11	8	SOLOMON ISLANDS	
1950	12	2	VANUATU	
1950	12	10	PERU	0.7
1950	12	14	MEXICO	0.3
1951	2	22	PAPUA NEW GUINEA	6
1951	2	23	USA	3
1951	8	3	NICARAGUA	
1951	8	21	USA	3.6
1951	10	22	TAIWAN	0.3
1951	12	21	CHINA	2
1951	12	22	SOLOMON ISLANDS	
1952	1	9	NORWAY	2
1952	3	4	JAPAN	6.54
1952	3	9	JAPAN	0.3
1952	3	17	USA	1
1952	3	19	PHILIPPINES	0.33
1952	4	10	USA	19.81
1952	5	6	USA	1.52
1952	5	13	COSTA RICA	0.1
1952	7	13	VANUATU	
1952	9	16	JAPAN	0.15
1952	9	23	JAPAN	0.05
1952	9	24	JAPAN	0.15
1952	9	26	JAPAN	0.1
1952	10	13	USA	
1952	11	4	RUSSIA	18.4
1953	2	14	USA	
1953	2	15	PERU	0.7
1953	2	16	USA	4.8
1953	3	11	JAPAN	6
1953	3	17	RUSSIA	3
1953	3	25	JAPAN	0.05
1953	4	23	PAPUA NEW GUINEA	
1953	5	6	CHILE	
1953	5	31	DOMINICAN REPUBLIC	0.06
1953	6	27	PAPUA NEW GUINEA	
1953	8	12	GREECE	
1953	8	19	USA	
1953	9	10	CYPRUS	
1953	9	14	FIJI	15
1953	11	25	JAPAN	3
1953	12	12	PERU	1
1954	2	11	CHINA	
1954	2		ITALY	
1954	6	26	USA	3
1954	9	9	ALGERIA	0.33
1954	10		GREENLAND	18.28
1954	11	18	JAPAN	
1955	1	18	VENEZUELA	
1955	4	19	GREECE	
1955	4	19	CHILE	1
1955	5	17	INDIA	
1955	9	8	PAPUA NEW GUINEA	
1955	9	23	CHINA	1
1956	1	8	CHILE	
1956	3	2	NEW ZEALAND	0.9
1956	3	5	JAPAN	0.4
1956	3	30	RUSSIA	0.3
1956	7	9	GREECE	30
1956	7	9	GREECE	10
1956	8	12	JAPAN	
1956	11	2	GREECE	1.2
1956	12	18	CHILE	
1957	3	9	USA	22.8
1957	6	22	INDONESIA	1.8
1957	7	28	MEXICO	1.3
1957	7	29	CHILE	
1957	9	26	INDONESIA	0.7
1957	10	26	INDONESIA	
1957	11	1	USA	0.1
1957	11		SOLOMON ISLANDS	2.7
1958	1	19	ECUADOR	
1958	2	7	CHINA	
1958	4	9	PERU	
1958	4	21	INDONESIA	
1958	7	10	USA	524.6
1958	9	17	RUSSIA	0.23
1958	10	7	VANUATU	
1958	11	4	PACIFIC OCEAN	0.1
1958	11	6	RUSSIA	5
1958	11	12	RUSSIA	1
1959	1	22	JAPAN	0.8
1959	2	7	PERU	0.4
1959	2	23	GREECE	1
1959	4	9	RUSSIA	0.1
1959	5	4	RUSSIA	0.2
1959	5	7	NORWAY	4
1959	8	17	SOLOMON ISLANDS	1
1959	8	18	USA	1
1959	10	26	JAPAN	0.11
1960	1	13	PERU	5.7
1960	2	29	MOROCCO	
1960	3	20	JAPAN	1
1960	3	23	JAPAN	0.75
1960	5	21	CHILE	0.3
1960	5	22	CHILE	25
1960	5	24	CHILE	
1960	6	11	PAPUA NEW GUINEA	
1960	7	29	JAPAN	0.3
1960	11	1	CHILE	
1960	11	20	PERU	9
1961	1	16	JAPAN	0.4
1961	1	16	JAPAN	0.4
1961	1	16	JAPAN	0.4
1961	2	12	RUSSIA	1
1961	2	26	JAPAN	0.65
1961	3	18	SOLOMON ISLANDS	3.6
1961	5	23	TURKEY	
1961	6	6	ITALY	0.9
1961	6	16	COLOMBIA	
1961	7	18	JAPAN	0.2
1961	7	23	VANUATU	0.9
1961	8	1	SOLOMON ISLANDS	0.9
1961	8	11	JAPAN	0.1
1961	10	18	CHILE	
1961	11	15	JAPAN	0.1
1962	1	11	CROATIA	0.04
1962	3	12	PANAMA	0.1
1962	4	12	JAPAN	1
1962	4	23	JAPAN	0.1
1962	5	11	MEXICO	0.81
1962	5	19	MEXICO	0.34
1962	5	21	JAPAN	0.1
1962	5	28	GREECE	
1962	12	21	USA	
1963	2	7	GREECE	6
1963	2	13	TAIWAN	0.2
1963	3	28	CANADA	5.5
1963	3	30	INDONESIA	
1963	9	18	TURKEY	
1963	9	24	PERU	
1963	10	9	ITALY	235
1963	10	12	RUSSIA	0.12
1963	10	13	RUSSIA	4.5
1963	10	20	RUSSIA	15
1963	12	16	INDONESIA	
1963	12	18	TONGA	
1964	3	20	USA	0.08
1964	3	28	USA	51.8
1964	4	2	INDONESIA	
1964	5	7	JAPAN	0.6
1964	5	7	JAPAN	
1964	5	19	USA	0.28
1964	6	16	JAPAN	5.8
1964	7	24	RUSSIA	0.08
1964	11	17	PAPUA NEW GUINEA	0.05
1964	12	10	JAPAN	0.1
1965	1	24	INDONESIA	
1965	2	4	USA	10.7
1965	2	19	CHILE	60
1965	2	23	CHILE	
1965	3	9	GREECE	
1965	3	22	CHILE	
1965	3	30	USA	0.1
1965	4	19	JAPAN	0.1
1965	6	11	RUSSIA	0.1
1965	7	2	USA	0.08
1965	7	6	GREECE	
1965	8	11	VANUATU	7
1965	8	13	VANUATU	2
1965	8	23	MEXICO	0.4
1965	9	28	PHILIPPINES	4.7
1965	10	3	CHILE	
1966	3	12	TAIWAN	0.1
1966	5	8	NORWAY	
1966	6	15	SOLOMON ISLANDS	0.2
1966	7	12	RUSSIA	0.2
1966	10	17	PERU	3
1966	11	28	SOLOMON ISLANDS	
1966	12	28	CHILE	0.42
1966	12	31	SOLOMON ISLANDS	2
1966	12	31	SOLOMON ISLANDS	0.8
1966			SOLOMON ISLANDS	
1967	3	19	RUSSIA	
1967	4	11	INDONESIA	
1967	4	12	INDONESIA	
1967	7	29	VENEZUELA	0.08
1967	8	13	PAPUA NEW GUINEA	0.1
1967	9	3	PERU	2
1967	10		USA	60
1967	11	15	CHILE	
1967	12	4	ANTARCTICA	1
1967	12	4	USA TERRITORY	
1967	12	21	CHILE	
1968	1	29	RUSSIA	0.18
1968	2	19	GREECE	1.2
1968	4	1	JAPAN	3.07
1968	4	18	ITALY	3
1968	5	4	CHILE	
1968	5	16	JAPAN	6
1968	5	16	JAPAN	0.58
1968	6	12	JAPAN	0.95
1968	7	25	NEW ZEALAND	0.05
1968	8	1	PHILIPPINES	0.16
1968	8	5	JAPAN	0.03
1968	8	10	INDONESIA	0.4
1968	8	14	INDONESIA	10
1968	9	3	TURKEY	3
1968	9	20	VENEZUELA	
1968	9	25	MEXICO	2
1969	2	23	INDONESIA	4
1969	2	28	PORTUGAL	0.9
1969	3	21	PHILIPPINES	
1969	3	31	EGYPT	
1969	4	12	SWEDEN	5
1969	4	21	JAPAN	0.1
1969	8	2	PAPUA NEW GUINEA	
1969	8	11	RUSSIA	5
1969	11	22	RUSSIA	15
1969	12	25	GUADELOUPE (FRENCH TERRITORY)	0.46
1970	1	10	PHILIPPINES	0.06
1970	3	11	USA	0.03
1970	4	7	PHILIPPINES	
1970	5	14	RUSSIA	
1970	5	31	PERU	0.38
1970	6	14	CHILE	
1970	6	19	CHILE	
1970	7	25	JAPAN	0.32
1970	9	28	NEW ZEALAND	1
1970	9	30	PHILIPPINES	
1970	10	31	PAPUA NEW GUINEA	3
1970	11	28	CHILE	
1970	12	4	RUSSIA	0.8
1971	3	19	PERU	30
1971	5	2	USA	0.04
1971	7	9	CHILE	1.2
1971	7	14	PAPUA NEW GUINEA	6
1971	7	26	PAPUA NEW GUINEA	10
1971	8	2	JAPAN	0.51
1971	9	5	RUSSIA	2
1971	9	6	RUSSIA	0.32
1971	9	6	SOLOMON ISLANDS	
1971	9	8	RUSSIA	0.09
1971	9	8	RUSSIA	0.07
1971	9	25	PAPUA NEW GUINEA	1.8
1971	9	27	RUSSIA	0.03
1971	11	6	USA	0.1
1971	12	15	RUSSIA	0.47
1972	1	25	TAIWAN	0.05
1972	2	29	JAPAN	0.42
1972	6	8	CHILE	
1972	7	30	USA	0.1
1972	8	17	PAPUA NEW GUINEA	0.6
1972	8	26	PAPUA NEW GUINEA	1.5
1972	9	6	JAPAN	
1972	10	9	PAPUA NEW GUINEA	
1972	12	2	PHILIPPINES	0.5
1972	12	4	JAPAN	0.5
1972	12	29	CHILE	
1973	1	30	MEXICO	1.13
1973	2	28	RUSSIA	1.5
1973	3	17	PHILIPPINES	1.3
1973	6	17	JAPAN	5.96
1973	6	24	RUSSIA	0.64
1973	6	26	RUSSIA	0.21
1973	10	5	CHILE	0.4
1974	1	31	SOLOMON ISLANDS	1.5
1974	2	1	SOLOMON ISLANDS	4.5
1974	5	8	JAPAN	0.2
1974	8	18	CHILE	
1974	9	27	RUSSIA	0.37
1974	10	3	PERU	0.92
1974	10	17	CANADA	2.8
1974	10	17	PAPUA NEW GUINEA	0.5
1974	12	28	PAKISTAN	
1975	1	15	INDONESIA	
1975	3	13	CHILE	
1975	4	27	CANADA	4.1
1975	5	26	ATLANTIC OCEAN	0.76
1975	6	10	RUSSIA	5.5
1975	7	20	PAPUA NEW GUINEA	2
1975	10	31	PHILIPPINES	3
1975	11	29	USA	14.3
1975	12	16	FIJI	0.25
1975	12	26	SAMOA	0.38
1976	1	14	NEW ZEALAND	0.9
1976	1	21	RUSSIA	0.38
1976	2	4	GUATEMALA	0.12
1976	8	16	PHILIPPINES	9
1977	4	2	SAMOA	0.08
1977	4	20	SOLOMON ISLANDS	0.15
1977	4	20	SOLOMON ISLANDS	
1977	4	21	SOLOMON ISLANDS	0.04
1977	6	22	TONGA	0.4
1977	8	19	INDONESIA	15
1977	8	20	PAPUA NEW GUINEA	0.5
1977	8	28	PAPUA NEW GUINEA	0.6
1977	10	10	TONGA	0.03
1978	1	14	JAPAN	0.35
1978	3	22	RUSSIA	0.07
1978	3	22	RUSSIA	0.05
1978	3	23	RUSSIA	0.17
1978	3	23	RUSSIA	0.3
1978	3	24	RUSSIA	0.65
1978	6	12	JAPAN	0.6
1978	6	12	INDIA	
1978	6	14	PHILIPPINES	0.03
1978	6	20	GREECE	0.45
1978	6	21	ITALY	0.6
1978	7	23	TAIWAN	0.05
1978	8	14	SPAIN	0.12
1978	10	10	NEW ZEALAND	
1978	11	29	MEXICO	1.5
1979	2	20	JAPAN	0.12
1979	2	28	USA	0.15
1979	3	14	MEXICO	1.3
1979	4	9	SERBIA AND MONTENEGRO	
1979	4	15	SERBIA AND MONTENEGRO	0.6
1979	5	15	GREECE	
1979	7	18	INDONESIA	9
1979	8	9	INDONESIA	
1979	9	3	VENEZUELA	
1979	9	12	INDONESIA	2
1979	10	6	NORWAY	2
1979	10	16	FRANCE	10
1979	11	16	FIJI	
1979	12	12	COLOMBIA	6
1980	1	1	PORTUGAL	
1980	2	23	RUSSIA	0.16
1980	5	18	USA	250
1980	6	29	JAPAN	0.56
1980	7	17	SOLOMON ISLANDS	0.14
1980	10	10	ALGERIA	0.7
1981	1	18	JAPAN	0.37
1981	2	24	GREECE	0.3
1981	3	4	GREECE	1
1981	5	11	SOUTH AFRICA	0.29
1981	5	25	NEW ZEALAND	0.3
1981	9	1	SAMOA	1
1981	10	25	MEXICO	0.09
1982	1	11	PHILIPPINES	0.1
